read_id	primer_hit_01_start	primer_hit_01_end	primer_hit_02_start	primer_hit_02_end	adaptor_hit_start	adaptor_hit_end
GGBKTAO02BYCM7 length=455 xy=0684_0753 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMXLU length=485 xy=0554_0528 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BRHYP length=168 xy=0606_0543 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUT22 length=377 xy=0644_0572 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B1X3N length=469 xy=0725_0593 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUD9V length=394 xy=0639_0561 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B1OLS length=176 xy=0722_0574 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BTVB6 length=194 xy=0633_0596 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BP6OU length=220 xy=0591_0716 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BYCKG length=46 xy=0684_0654 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQ5A0 length=382 xy=0602_0522 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BPHFV length=197 xy=0583_0761 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BWUW7 length=325 xy=0667_0761 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUD83 length=336 xy=0639_0533 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMKZE length=537 xy=0550_0552 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B1RR3 length=372 xy=0723_0593 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BNZKJ length=319 xy=0566_0577 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BXJ6V length=152 xy=0675_0741 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BZ0MB length=212 xy=0703_0657 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BV8R0 length=356 xy=0660_0734 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BTCB1 length=452 xy=0627_0543 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BRXUV length=344 xy=0611_0661 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUQXP length=45 xy=0643_0587 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BS52G length=326 xy=0625_0614 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BN2RO length=420 xy=0567_0626 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUHK4 length=458 xy=0640_0758 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUKQL length=450 xy=0641_0747 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BU9YB length=272 xy=0649_0657 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BYVJR length=409 xy=0690_0677 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSAEI length=282 xy=0615_0536 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B1IAW length=373 xy=0720_0598 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BRH3O length=309 xy=0606_0722 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSZRX length=158 xy=0623_0651 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BRBOF length=379 xy=0604_0589 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BZ3TO length=347 xy=0704_0714 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BZED7 length=205 xy=0696_0525 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQ8KS length=269 xy=0603_0666 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMUMP length=428 xy=0553_0767 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B08UR length=306 xy=0717_0641 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSZN8 length=392 xy=0623_0518 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BW7KF length=469 xy=0671_0765 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMERQ length=399 xy=0548_0692 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BZEI6 length=306 xy=0696_0704 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BNP6O length=381 xy=0563_0702 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQPIL length=227 xy=0597_0539 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMRFG length=74 xy=0552_0714 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BXJ0V length=312 xy=0675_0525 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BW7HP length=409 xy=0671_0667 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSTFY length=403 xy=0621_0636 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BLYXI length=403 xy=0543_0644 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BL157 length=520 xy=0544_0749 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BOYE9 length=431 xy=0577_0691 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BVC1H length=456 xy=0650_0563 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B0MPZ length=439 xy=0710_0629 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQPMD length=374 xy=0597_0675 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMRA1 length=485 xy=0552_0555 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BXGV1 length=370 xy=0674_0559 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BOYB5 length=313 xy=0577_0579 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BZUA3 length=357 xy=0701_0669 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BXGXB length=307 xy=0674_0605 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMRBV length=478 xy=0552_0585 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BRULQ length=409 xy=0610_0540 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQI6N length=392 xy=0595_0525 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BNP1G length=479 xy=0563_0514 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BT4UV length=346 xy=0636_0645 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BNABO length=546 xy=0558_0626 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BZ6UB length=493 xy=0705_0529 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUA7L length=245 xy=0638_0687 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BPKFB length=392 xy=0584_0533 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BPKII length=161 xy=0584_0648 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BXDVZ length=387 xy=0673_0765 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMK40 length=147 xy=0550_0754 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BYO4L length=124 xy=0688_0547 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BR36M length=284 xy=0613_0668 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BWBSO length=372 xy=0661_0550 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BNP52 length=354 xy=0563_0680 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BN2ST length=485 xy=0567_0667 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMN9F length=398 xy=0551_0705 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSGVL length=246 xy=0617_0735 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BL8GM length=336 xy=0546_0708 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BLSJN length=92 xy=0541_0561 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BOILR length=352 xy=0572_0669 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BLSIO length=461 xy=0541_0526 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BL8GU length=178 xy=0546_0716 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B109R length=231 xy=0726_0605 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BOU8I length=353 xy=0576_0656 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSWKR length=305 xy=0622_0601 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BT1Q5 length=376 xy=0635_0719 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BV8P1 length=372 xy=0660_0663 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BYVJC length=280 xy=0690_0662 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQF1G length=135 xy=0594_0546 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUNVA length=168 xy=0642_0708 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BLFZG length=185 xy=0537_0666 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B0JG6 length=365 xy=0709_0520 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BTFI9 length=287 xy=0628_0595 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMER1 length=60 xy=0548_0703 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B1RTM length=282 xy=0723_0648 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BYSGC length=458 xy=0689_0762 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQ8I0 length=488 xy=0603_0602 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQ8J1 length=362 xy=0603_0639 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BTOZD length=57 xy=0631_0551 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BR37U length=463 xy=0613_0712 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQ5HS length=154 xy=0602_0766 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BYO96 length=364 xy=0688_0748 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BYO70 length=377 xy=0688_0670 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BU0E1 length=203 xy=0646_0587 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BLI1H length=222 xy=0538_0531 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUW9K length=515 xy=0645_0598 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BOFCT length=196 xy=0571_0555 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B0ZBT length=60 xy=0714_0583 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BVV2Z length=191 xy=0656_0665 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQCU0 length=330 xy=0593_0522 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BV2B9 length=297 xy=0658_0583 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSJZX length=384 xy=0618_0683 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BZKVG length=491 xy=0698_0730 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BRRIH length=447 xy=0609_0631 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B14EZ length=409 xy=0727_0585 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BTCE1 length=489 xy=0627_0651 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BR7B5 length=110 xy=0614_0659 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMBID length=75 xy=0547_0563 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BYL3S length=375 xy=0687_0726 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BVPNV length=190 xy=0654_0537 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BLYUI length=262 xy=0543_0536 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BLPJC length=185 xy=0540_0758 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BLPFT length=263 xy=0540_0631 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BNTCI length=315 xy=0564_0704 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B1LGD length=91 xy=0721_0587 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BVC0R length=373 xy=0650_0537 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BRRJ3 length=514 xy=0609_0689 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BXNAT length=335 xy=0676_0675 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BVF5Z length=491 xy=0651_0517 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BM32M length=453 xy=0556_0716 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BPNRJ length=105 xy=0585_0765 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BV2FR length=365 xy=0658_0709 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSDO1 length=246 xy=0616_0707 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSZR6 length=254 xy=0623_0660 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQMHM length=423 xy=0596_0712 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BPKEW length=338 xy=0584_0518 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BV2B2 length=516 xy=0658_0576 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQ18A length=309 xy=0601_0632 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BT1ON length=392 xy=0635_0629 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BTLY6 length=432 xy=0630_0752 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQPL2 length=379 xy=0597_0664 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BVSUU length=397 xy=0655_0580 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BRXRW length=128 xy=0611_0554 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BS2WF length=337 xy=0624_0605 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B1B0L length=232 xy=0718_0643 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BS894 length=382 xy=0626_0682 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQSUC length=265 xy=0598_0754 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BTYJH length=372 xy=0634_0651 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BOYCU length=169 xy=0577_0604 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02B14EV length=287 xy=0727_0581 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQJB7 length=301 xy=0595_0725 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQVY4 length=305 xy=0599_0718 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUT26 length=253 xy=0644_0576 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUNVH length=404 xy=0642_0715 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BYFPT length=308 xy=0685_0639 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQI6E length=376 xy=0595_0516 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BLFVJ length=471 xy=0537_0525 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BWBTR length=238 xy=0661_0589 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BVPN4 length=203 xy=0654_0546 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMXO8 length=333 xy=0554_0650 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BU3JK length=293 xy=0647_0542 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BROEK length=286 xy=0608_0698 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BPTZ5 length=201 xy=0587_0659 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BLYV8 length=398 xy=0543_0598 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUKQQ length=174 xy=0641_0752 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BTVB2 length=319 xy=0633_0592 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMRED length=402 xy=0552_0675 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BWRLD length=336 xy=0666_0543 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BVJEU length=130 xy=0652_0628 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BVJFR length=461 xy=0652_0661 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSGWA length=268 xy=0617_0760 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BXM9I length=502 xy=0676_0628 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BY1RG length=279 xy=0692_0538 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BROAF length=448 xy=0608_0549 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BRRHK length=175 xy=0609_0598 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BWBS5 length=48 xy=0661_0567 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQ2BF length=269 xy=0601_0745 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUT61 length=413 xy=0644_0715 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQ5EF length=216 xy=0602_0645 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BYR9F length=420 xy=0689_0513 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQY4T length=390 xy=0600_0715 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BNP77 length=236 xy=0563_0757 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BTVA1 length=301 xy=0633_0555 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BMRB3 length=408 xy=0552_0593 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BL126 length=392 xy=0544_0640 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BZHK4 length=403 xy=0697_0566 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BYYML length=516 xy=0691_0571 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BX59S length=284 xy=0682_0686 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BWBSL length=386 xy=0661_0547 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BR7E1 length=275 xy=0614_0763 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BU3LQ length=253 xy=0647_0620 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BVF6A length=497 xy=0651_0528 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BV8RT length=383 xy=0660_0727 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BP6NC length=143 xy=0591_0662 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQPJV length=405 xy=0597_0585 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BR34Q length=525 xy=0613_0600 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQPLL length=398 xy=0597_0647 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUECS length=427 xy=0639_0666 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUNPV length=245 xy=0642_0513 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BV5HD length=339 xy=0659_0559 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSQCT length=312 xy=0620_0731 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BXJ3V length=356 xy=0675_0633 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BSWKG length=202 xy=0622_0590 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BZ6WJ length=295 xy=0705_0609 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BQJB5 length=146 xy=0595_0723 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BXZV1 length=303 xy=0680_0607 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BRUPR length=375 xy=0610_0685 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
GGBKTAO02BUKK2 length=229 xy=0641_0548 region=2 run=R_2010_04_28_09_04_12_	NA	NA	NA	NA	NA	NA
